id,nome,categoria,especialidades,regiao,dados
as4,BIOCARDIOS INSTITUTO DE CARDIOLOGIA,Clínica Specialized,Cardiologia;Cirurgia Cardiovascular;Clínica Médica;Pneumologia;Angiologia;Gastroenterologia;Nutricionista,Asa Sul,"SESP 709/900 BLOCO F ED BIOCENTER. Tel: (61) 3442-6300"
as5,BRASILIA MEDICINA HIPERBARICA,Clínica Specialized,Oxigenoterapia Hiperbárica,Asa Sul,"SGAS 613 CONJ E BLOCO A 1° SUBSOLO. Tel: (61) 3346-6005"
as6,CLINICA DE ALERGIA SAO JOAQUIM LTDA,Clínica Specialized,Psicologia;Alergia/Imunologia;Nutrição;Cirurgia Geral;Gastroenterologia;Proctologia;Clinica Medica;Ortopedia;Psiquiatria;Endocrinologia,Asa Sul,"SCS Quadra 1, Edifício Ceará, Salas 301. Tel: (61) 3224-7363"
as7,CARDIOADVANCE CONSULTÓRIOS MÉDICOS,Clínica Specialized,Cardiologia;Angiologia;Clínica Médica;Diagnóstico por Imagem;Endocrinologia;Neurologia;Pneumologia;Psicologia,Asa Sul,"SGAS QD 915 CONJ. N, EDF. ADVANCE 1, Salas 128/130. Tel: (61) 3345-7846"
as8,CENTRO SUL DE IMAGEM E MEDICINA FETAL,Clínica Specialized,Densitometria Óssea;Mamografia Digital Bilateral;Ultrassonografia;Ressonância Magnética,Asa Sul,"SHLS 716 Conj. L, Bl I salas L 305, Ed. Centro Clínico Sul. Tel: (61) 3346-1010"
as9,CLÍNICA DE MAMA DIAGNÓSTICO POR IMAGEM,Clínica Specialized,Marcação pré-cirúrgica por US;Punção de Tireoide;Ressonância Magnética;Tomografia Computadorizada;Ultrassonografias,Asa Sul,"SHLS 716 CENTRO CLÍNICO SUL, Salas W 424/W426. Tel: (61) 3213-6625"
as10,CLÍNICA UROMASTER S/S LTDA,Clínica Specialized,Urologia;Bioimpedanciometria;Cauterização Química,Asa Sul,"SEP/ SUL EQ 710/910 CONJUNTO D SALAS 325 ED VIA BRASIL. Tel: (61) 3442-8431"
as11,CLÍNICA RADIOLÓGICA VILA RICA LTDA,Clínica Specialized,Diagnóstico por Imagem;Radiologia;Raio-X;Mamografia;Tomografia;Ressonância Magnética,Asa Sul,"SHLS QD 716 CJ 'L' - BL 02 – CENTRO CLINICO SUL. Tel: (61) 3442-6300"
as12,CLÍNICA DO SONO OTOFACE DE BRASILÍA,Clínica Specialized,Medicina Do Sono;Otorrinolaringologia (Adulto e Ped);Fonoaudiologia,Asa Sul,"SHLS 716 BLOCO F SALAS 205 A 209. Tel: (61) 3346-9683"
as13,CLÍNICA ANAHATA SAÚDE INTEGRADA,Clínica Specialized,Psicoterapia;Avaliação Psicológica para Cirurgias;Neuropsicologia;Sexologia;Psicopedagogia,Asa Sul,"SHCS CR, QD 510, BLOCO C, ED. LUCIANA. Tel: (61) 3346-5469"
as14,IACV – INSTITUTO DE ANGIOLOGIA,Clínica Specialized,Angiologia e Cirurgia Vascular;Curativos;Desbridamento;Doppler Colorido Arterial;Doppler de Aorta,Asa Sul,"SGAS 6114 s/nº, Conjunto C, Salas 9, 11 e 13, Edifício Vitrium. Tel: (61) 3247 0660"
as15,NÚCLEOS – MEDICINA NUCLEAR DE BRASÍLIA,Clínica Specialized,Medicina Nuclear (Todos os procedimentos);Tomografia;Ultrassonografia;Densitometria,Asa Sul,"SHLS 716, bloco D consutório 05 Centro médico Brasília. Tel: (61) 3031-7200"
as16,ONCO VIDA INSTITUTO DE ONCOLOGIA,Clínica Specialized,Oncologia;Hematologia Clínica,Asa Sul,"SGAS 915 CONJ B BLOCO A SALA 03,04,08. Tel: (61) 3326-2000"
as17,PULMOCLINAR - REABILITAÇÃO PULMONAR,Clínica Specialized,Pneumologia;Polissonografia Noite Inteira;Prova de Função Pulmonar (Espirometria);Oximetria,Asa Sul,"SHIGS 714/914, E TALENTO, SALA 29. Tel: (61) 3346-6616"
as18,UNIPROCTO E GASTRO CLÍNICA,Clínica Specialized,Gastroenterologia;Colonoscopia;Nutrição;Fisioterapia do Assoalho Pélvico,Asa Sul,"SGAS 616 CONJUNTO A BLOCO C LOJA 01, LINNEA VITTA. Tel: (61) 3361-2100"
as19,UROGIN – CLÍNICA DE REABILITAÇÃO,Clínica Specialized,Fisioterapia Pélvica;Fisioterapia Obstétrica;Fisioterapia Urológica;Sexologia,Asa Sul,"SESP 715/915 EDFICIO PACINI BLOCO D SLS 403. Tel: (61) 3345-0167"
as20,SB FISIO – REABILITAÇÃO SARAH BRANDÃO,Clínica Specialized,Fisioterapia Motora;Fisioterapia Pélvica;Acupuntura;RPG,Asa Sul,"SGAS 608, CONJUNTO G, PARTE BLOCO C (ACM / YMCA). Tel: (61) 3443-0565"
so1,CENTRO MÉDICO MATSUMOTO LTDA,Clínica Specialized,Anestesiologia;Angiologia;Cardiologia;Cirurgia Geral/Plástica;Clínica Médica;Dermatologia;Gastroenterologia;Ginecologia;Mastologia;Neurocirurgia;Nutrição;Oftalmologia;Oncologia;Ortopedia;Otorrino;Pediatria;Proctologia;Psicologia;Urologia;Imagem,Sobradinho,"QD 05 CL 01 – SOBRADINHO – DF. Tel: (61) 3487-1029"
so2,CENTRO CLÍNICO MATERNO INFANTIL SOBRADINHO,Clínica Specialized,Medicina Integrativa;Cirurgia-Geral;Gastroenterologia;Clínica Médica;Psicologia;Oftalmologia;Urologia;Ortopedia;Angiologia;Nutrição;Endocrinologia;Dermatologia;Cardiologia;Otorrino;Ginecologia;Pneumologia,Sobradinho,"Quadra 01 Area especial 1 - Sobradinho. Tel: 0800 591 6529"
se1,IOSS INSTITUTO DE OLHOS DE SÃO SEBASTIÃO,Clínica Specialized,Dermatologia;Cardiologia;Neurologia;Clínica Médica;Ortopedia;Oftalmologia;Pediatria;Psiquiatria;Urologia;Ginecologia;Mastologia;Pré Natal;Fonoaudiólogo;Psicologia;Nutricionista;Imagem,São Sebastião,"Quadra 101, conj. 01, Lote 11/12 – St Res. Oeste. Tel: (61) 3335-6884"
sm1,NEUROSENSE - CLINICA DE NEUROPSICOLOGIA,Clínica Specialized,Consulta Psicologia;Avaliação Neuropsicológica (Adulto/Infantil);Psicodiagnóstica;Psicomotricidade;Psicopedagogia;Psicoterapia Casal/Familiar,Setor Militar Urbano,"SMU, QRSN CJ 06, BRASILIA DF. Tel: (61) 99972-1657"
v1,FISIOVIDA CLÍNICA DE FISIOTERAPIA,Valparaíso,Fisioterapia em Acupuntura;Fisioterapia Cardiovascular;Neurofuncional;Respiratória;Traumato-Ortopédica;RPG,Valparaíso,"Rua 06 S/Nº Quadra 06 Lote Y Loja 02 - Parque São Bernardo. Tel: (61) 3629-7239"
